city,month,upt,index
Pittsburgh,2022-03,3095450,57.90446067965465
Pittsburgh,2022-04,2914636,54.5220971611578
Pittsburgh,2022-05,2810836,52.58038173414455
Pittsburgh,2022-06,2857465,53.45263846484013
Pittsburgh,2022-07,2794142,52.26809852279042
Pittsburgh,2022-08,3107316,58.12642980544405
Pittsburgh,2022-09,3528499,66.00521139210801
Pittsburgh,2022-10,3406539,63.72378929693908
Pittsburgh,2022-11,3176251,59.415949583489876
Pittsburgh,2022-12,2807629,52.52039058410186
Pittsburgh,2023-01,2973817,55.62915554927024
Pittsburgh,2023-02,2999188,56.10375345002894
Pittsburgh,2023-03,3367790,62.99893832313044
Pittsburgh,2023-04,3252470,60.84172615508451
Pittsburgh,2023-05,3303377,61.79400849846566
Pittsburgh,2023-06,3191514,59.701464059043865
Pittsburgh,2023-07,3096401,57.92225038457845
Pittsburgh,2023-08,3472681,64.96106233907308
Pittsburgh,2023-09,3725151,69.68384551689614
Pittsburgh,2023-10,3745250,70.05982372852948
Pittsburgh,2023-11,3236246,60.53823491146348
Pittsburgh,2023-12,2863644,53.56822478105896
Pittsburgh,2024-01,2737815,51.21442795576369
Pittsburgh,2024-02,2925054,54.716979543803504
Pittsburgh,2024-03,2911584,54.46500548983559
Pittsburgh,2024-04,3164671,59.199330463597654
Pittsburgh,2024-05,3123272,58.424907756825775
Pittsburgh,2024-06,2874745,53.77588357638915
Pittsburgh,2024-07,3019753,56.48844880413806
Pittsburgh,2024-08,3228480,60.392961674409676
Pittsburgh,2024-09,3453338,64.59922610107003
Pittsburgh,2024-10,3634437,67.98692091914972
Pittsburgh,2024-11,3133534,58.616871954436654
Pittsburgh,2024-12,2734223,51.147234874705575
Pittsburgh,2025-01,2737640,51.21115435075667
Pittsburgh,2025-02,2802309,52.42087299188884
Pittsburgh,2025-03,3157292,59.06129657018791
Pittsburgh,2025-04,3285365,61.45707036483018
Pittsburgh,2025-05,3116189,58.29241093245645
Pittsburgh,2025-06,2940840,55.01227742174986
Pittsburgh,2025-07,3067577,57.38305958045291
Pittsburgh,2025-08,3355033,62.7603018712768
Pittsburgh,2025-09,3732049,69.8128816731152
Pittsburgh,2025-10,3795685,71.00327669154886
Pittsburgh,2025-11,3074471,57.512020911414666
Pittsburgh,2025-12,2757074,51.57469286336337
Portland,2019-01,8125531,100.44889376836008
Portland,2019-02,7226069,89.32962502313264
Portland,2019-03,8059089,99.62752893697154
Portland,2019-04,8286959,102.44448815145195
Portland,2019-05,8634022,106.73492706774287
Portland,2019-06,8093986,100.05893028733676
Portland,2019-07,8200353,101.37385327310338
Portland,2019-08,8141301,100.64384460353959
Portland,2019-09,7926042,97.98278424653851
Portland,2019-10,8842859,109.31659780752629
Portland,2019-11,7877674,97.38485260443561
Portland,2019-12,7656743,94.65367422986075
Portland,2020-01,8128694,100.4879951945917
Portland,2020-02,7861458,97.18438825800118
Portland,2020-03,5515859,68.18778178709218
Portland,2020-04,2595834,32.09004478677113
Portland,2020-05,2709292,33.4926276566378
Portland,2020-06,3049099,37.69336693690701
Portland,2020-07,3370610,41.66792863439598
Portland,2020-08,3648044,45.097604601878125
Portland,2020-09,3213498,39.72568921672167
Portland,2020-10,3526479,43.594801920927104
Portland,2020-11,3109195,38.436281673175124
Portland,2020-12,3171894,39.211375041274074
Portland,2021-01,3022586,37.36560970842797
Portland,2021-02,2754145,34.04710640174286
Portland,2021-03,3491362,43.160680901332995
Portland,2021-04,3536305,43.71627223839533
Portland,2021-05,3600514,44.5100324271107
Portland,2021-06,3614286,44.68028372083881
Portland,2021-07,3988240,49.303152751829316
Portland,2021-08,3976483,49.15781115581121
Portland,2021-09,4052467,50.09713545893615
Portland,2021-10,4332254,53.55589952503449
Portland,2021-11,4005251,49.51344499388631
Portland,2021-12,4019524,49.68988971617655
Portland,2022-01,3821526,47.2422121344471
Portland,2022-02,3740054,46.23504444619437
Portland,2022-03,4444231,54.94017407613764
Portland,2022-04,4356103,53.85072403157832
Portland,2022-05,4533777,56.04715362509039
Portland,2022-06,4591376,56.75920011561067
Portland,2022-07,4585720,56.689279892162645
Portland,2022-08,4812895,59.49764742430636
Portland,2022-09,4791412,59.23207172410587
Portland,2022-10,5077329,62.7666156646272
Portland,2022-11,4602359,56.89497342079625
Portland,2022-12,4396992,54.356199282032044
Portland,2023-01,4634478,57.29203276608038
Portland,2023-02,4446647,54.970040989123916
Portland,2023-03,5138327,63.52068104473374
Portland,2023-04,4931348,60.961979147801536
Portland,2023-05,5332784,65.92458431401104
Portland,2023-06,5160273,63.79198041244772
Portland,2023-07,5182364,64.06507228942621
Portland,2023-08,5550492,68.61591953438274
Portland,2023-09,5297790,65.49198383675852
Portland,2023-10,5672115,70.11943921903956
Portland,2023-11,5161594,63.80831078995389
Portland,2023-12,5421843,67.02554350426166
Portland,2024-01,4786287,59.16871579320575
Portland,2024-02,5270179,65.15065298640079
Portland,2024-03,5513571,68.15949722711179
Portland,2024-04,5611757,69.37328560396251
Portland,2024-05,5720782,70.72106713886718
Portland,2024-06,5596643,69.18644432793822
Portland,2024-07,5498145,67.96879896563563
Portland,2024-08,5615539,69.42003919043358
Portland,2024-09,5357842,66.23435463918086
Portland,2024-10,5986474,74.0055869423241
Portland,2024-11,5332972,65.92690839498843
Portland,2024-12,5139581,63.53618315933838
Portland,2025-01,5296315,65.47374969079215
Portland,2025-02,4824199,59.637388974139526
Portland,2025-03,5511316,68.13162061751574
Portland,2025-04,5775414,71.39643518119611
Portland,2025-05,5850601,72.32590686443278
Portland,2025-06,5622346,69.50418822880181
Portland,2025-07,5785105,71.51623661072843
Portland,2025-08,5580680,68.989107601117
Portland,2025-09,5602570,69.2597146893909
Portland,2025-10,5917991,73.15899099777124
Portland,2025-11,5077638,62.77043556368049
Portland,2025-12,5283230,65.31199118233786
St. Louis,2019-01,2745934,91.3529240791048
St. Louis,2019-02,2686338,89.37025848575173
St. Louis,2019-03,2948582,98.09470569467983
St. Louis,2019-04,3170073,105.46336441233473
St. Louis,2019-05,3164861,105.28996933426646
St. Louis,2019-06,3107510,103.38199137526938
St. Louis,2019-07,3103099,103.23524431284437
St. Louis,2019-08,3228483,107.40657364295008
St. Louis,2019-09,3128906,104.09380278938076
St. Louis,2019-10,3238374,107.73563172375844
St. Louis,2019-11,2817008,93.71744475804256
St. Louis,2019-12,2731060,90.85808939161682
St. Louis,2020-01,2828798,94.10967959503887
St. Louis,2020-02,2759383,91.80035124812629
St. Louis,2020-03,2253475,74.96958433420492
St. Louis,2020-04,1372070,45.64662025424403
St. Louis,2020-05,1430606,47.59402130754483
St. Louis,2020-06,1380415,45.924245336070506
St. Louis,2020-07,1469492,48.88769763251843
St. Louis,2020-08,1486396,49.45006724104987
St. Louis,2020-09,1522954,50.66629465164456
St. Louis,2020-10,1583217,52.671150290483325
