route_id,change_month,old_pick,new_pick,trips_before,trips_after,trip_delta,otp_before,otp_after,otp_delta,n_before,n_after,event_type,is_covid
40,2020-12,2009,2011,51,38,-13,0.7296666666666667,0.7500333333333332,0.020366666666666533,3,3,cut,false
41,2019-04,1811,1903,72,72,0,0.6699666666666667,0.6888,0.018833333333333258,3,3,neutral,false
41,2019-07,1903,1906,72,72,0,0.6888,0.6380666666666667,-0.0507333333333333,3,3,neutral,false
41,2019-09,1906,1909,72,72,0,0.6268,0.6986333333333333,0.0718333333333333,3,3,neutral,false
41,2019-12,1909,1911,72,72,0,0.6986333333333333,0.7657333333333334,0.06710000000000005,3,3,neutral,false
41,2020-03,1911,2003,72,216,144,0.7657333333333334,0.7724666666666667,0.006733333333333369,3,3,increase,true
41,2020-04,2003,2003EMERG,216,150,-66,0.7714,0.7674333333333334,-0.003966666666666563,3,3,cut,true
41,2020-09,2003EMERG,2009,150,72,-78,0.7494,0.70595,-0.04344999999999999,3,2,cut,false
41,2020-12,2009,2011,72,62,-10,0.70595,0.8026333333333334,0.09668333333333345,2,3,cut,false
43,2019-04,1811,1903,44,44,0,0.7726999999999999,0.7611666666666667,-0.011533333333333284,3,3,neutral,false
43,2019-07,1903,1906,44,44,0,0.7611666666666667,0.7940666666666667,0.03290000000000004,3,3,neutral,false
43,2019-09,1906,1909,44,44,0,0.7627333333333333,0.8115,0.048766666666666736,3,3,neutral,false
43,2019-12,1909,1911,44,44,0,0.8115,0.8073333333333333,-0.004166666666666652,3,3,neutral,false
43,2020-03,1911,2003,44,132,88,0.8073333333333333,0.7685,-0.038833333333333386,3,3,increase,true
43,2020-04,2003,2003EMERG,132,96,-36,0.8200333333333334,0.7550666666666667,-0.06496666666666673,3,3,cut,true
43,2020-09,2003EMERG,2009,96,44,-52,0.7632333333333333,0.78755,0.024316666666666653,3,2,cut,false
43,2020-12,2009,2011,44,34,-10,0.78755,0.7417333333333334,-0.04581666666666662,2,3,cut,false
44,2019-04,1811,1903,64,64,0,0.7696999999999999,0.735,-0.03469999999999995,3,3,neutral,false
44,2019-07,1903,1906,64,64,0,0.735,0.7284,-0.006599999999999939,3,3,neutral,false
44,2019-09,1906,1909,64,64,0,0.7313000000000001,0.7304666666666666,-0.0008333333333334636,3,3,neutral,false
44,2019-12,1909,1911,64,64,0,0.7304666666666666,0.7959333333333333,0.06546666666666667,3,3,neutral,false
44,2020-03,1911,2003,64,192,128,0.7959333333333333,0.7762666666666665,-0.01966666666666672,3,3,increase,true
44,2020-04,2003,2003EMERG,192,108,-84,0.8159000000000001,0.7494,-0.06650000000000011,3,3,cut,true
44,2020-09,2003EMERG,2009,108,64,-44,0.7207333333333333,0.7553333333333333,0.034599999999999964,3,3,cut,false
44,2020-11,2009,2011,64,66,2,0.7374333333333333,0.7667666666666667,0.029333333333333433,3,3,increase,false
48,2019-04,1811,1903,88,88,0,0.7475999999999999,0.632,-0.11559999999999993,3,3,neutral,false
48,2019-07,1903,1906,88,88,0,0.632,0.7312,0.09919999999999995,3,3,neutral,false
48,2019-09,1906,1909,88,88,0,0.6738666666666666,0.7804000000000001,0.10653333333333348,3,3,neutral,false
48,2019-12,1909,1911,88,88,0,0.7804000000000001,0.8329,0.05249999999999988,3,3,neutral,false
48,2020-03,1911,2003,88,264,176,0.8329,0.7575,-0.07540000000000002,3,3,increase,true
48,2020-04,2003,2003EMERG,264,138,-126,0.8353,0.7295000000000001,-0.1057999999999999,3,3,cut,true
48,2020-09,2003EMERG,2009,138,88,-50,0.7388,0.7611,0.022299999999999986,3,3,cut,false
48,2020-12,2009,2011,88,76,-12,0.7611,0.7341333333333333,-0.026966666666666694,3,3,cut,false
51,2019-04,1811,1903,206,206,0,0.6700333333333334,0.5977666666666667,-0.0722666666666667,3,3,neutral,false
51,2019-07,1903,1906,206,206,0,0.5977666666666667,0.6233333333333334,0.025566666666666737,3,3,neutral,false
