current_garage,month,weighted_otp,unweighted_otp,total_riders,n_routes
South Hills Village,2024-08,0.9022071315049325,0.8793333333333333,9809.863636363636,3
South Hills Village,2024-09,0.8217394299911396,0.8133666666666667,11229.65,3
South Hills Village,2024-10,0.853306756279172,0.8535,10703.08695652174,3
West Mifflin,2019-01,0.6796733005856831,0.7032578947368421,44796.18181818182,19
West Mifflin,2019-02,0.6478604438868996,0.6786894736842105,50100.6,19
West Mifflin,2019-03,0.6660862337795508,0.6886947368421052,48296.61904761906,19
West Mifflin,2019-04,0.6327697973540146,0.6624473684210527,49818.18181818181,19
West Mifflin,2019-05,0.6366553369175187,0.6532842105263158,48098.500000000015,19
West Mifflin,2019-06,0.6082824671007885,0.6399842105263157,45578.6,19
West Mifflin,2019-07,0.6552114878753782,0.6946473684210526,45729.636363636375,19
West Mifflin,2019-08,0.650016967170124,0.681678947368421,47838.90909090909,19
West Mifflin,2019-09,0.6093236353222478,0.6361947368421053,54996.5,19
West Mifflin,2019-10,0.6499055476152923,0.6654842105263158,53752.82608695653,19
West Mifflin,2019-11,0.6531217227820717,0.6537684210526316,50038.25,19
West Mifflin,2019-12,0.6998397783130893,0.6968210526315789,44833.71428571429,19
West Mifflin,2020-01,0.6967034428998556,0.7086,48223.09090909092,19
West Mifflin,2020-02,0.6541488063420426,0.6712473684210526,50829.05,19
West Mifflin,2020-03,0.7494627262482564,0.7459210526315789,31542.181818181838,19
West Mifflin,2020-04,0.7603252339570106,0.7489526315789474,14561.727272727283,19
West Mifflin,2020-05,0.7378654376839066,0.7261578947368421,18147.8,19
West Mifflin,2020-06,0.7097287366780194,0.7011684210526316,20032.681818181816,19
West Mifflin,2020-07,0.7088914873825078,0.7104263157894737,17901.304347826102,19
West Mifflin,2020-08,0.7209008826155553,0.723378947368421,18079.38095238094,19
West Mifflin,2020-09,0.7236877601763309,0.7333157894736843,19400.761904761886,19
West Mifflin,2020-10,0.7145259062250515,0.7309842105263158,19414.954545454544,19
West Mifflin,2020-11,0.7455431062480439,0.75223125,16934.9,16
West Mifflin,2020-12,0.7308259519160885,0.7292947368421053,15947.500000000002,19
West Mifflin,2021-01,0.7518766375254323,0.7427736842105264,15728.0,19
West Mifflin,2021-02,0.7341311382969676,0.7364631578947369,17051.350000000002,19
West Mifflin,2021-03,0.7496146636566615,0.7562000000000001,19336.47826086956,19
West Mifflin,2021-04,0.7430855812470237,0.7518315789473684,21095.318181818184,19
West Mifflin,2021-05,0.7347757032852699,0.7399368421052631,20375.8,19
West Mifflin,2021-06,0.7119194911969452,0.7218789473684211,20522.31818181817,19
West Mifflin,2021-07,0.7194478732717201,0.7368368421052631,21377.571428571428,19
West Mifflin,2021-08,0.6926899536481895,0.7206105263157895,24525.86363636364,19
West Mifflin,2021-09,0.6538761306389768,0.6850052631578948,31817.238095238088,19
West Mifflin,2021-10,0.6648723420952944,0.699178947368421,31552.333333333325,19
West Mifflin,2021-11,0.7126111986149969,0.7286526315789473,29513.428571428565,19
West Mifflin,2021-12,0.7305665604481333,0.7292736842105264,25023.608695652183,19
West Mifflin,2022-01,0.7487234272192831,0.7321833333333333,22015.904761904756,18
West Mifflin,2022-02,0.6581584647122987,0.6868473684210527,29520.2,19
West Mifflin,2022-03,0.6297781163030732,0.6544473684210527,32182.782608695667,19
West Mifflin,2022-04,0.6164512281267713,0.6599315789473684,31588.952380952374,19
West Mifflin,2022-05,0.6683008904999166,0.6989368421052632,29111.523809523802,19
West Mifflin,2022-06,0.6547385661481545,0.683378947368421,28210.09090909091,19
West Mifflin,2022-07,0.6493971490448847,0.6705894736842105,28143.2,19
West Mifflin,2022-08,0.6257480371158356,0.6653947368421053,30428.826086956517,19
West Mifflin,2022-09,0.5055867949239771,0.5356052631578948,38140.09523809524,19
West Mifflin,2022-10,0.5879588302067474,0.6456000000000001,35405.52380952381,19
West Mifflin,2022-11,0.599020673807557,0.6509368421052631,33778.19047619047,19
West Mifflin,2022-12,0.6467297722284759,0.6850473684210526,28912.54545454546,19
West Mifflin,2023-01,0.6751441605693553,0.705978947368421,30707.772727272728,19
West Mifflin,2023-02,0.6177375943225702,0.6670421052631579,34853.8,19
West Mifflin,2023-03,0.6351316504808803,0.6695736842105263,33349.17391304347,19
West Mifflin,2023-04,0.6049727532121234,0.6464526315789474,35327.1,19
West Mifflin,2023-05,0.6129086177781781,0.6412842105263158,32301.090909090904,19
West Mifflin,2023-06,0.5972503762213661,0.6261736842105263,30228.818181818173,19
West Mifflin,2023-07,0.6105926881876228,0.626778947368421,30367.3,19
West Mifflin,2023-08,0.6000736282927299,0.6159842105263158,33335.95652173913,19
West Mifflin,2023-09,0.553248001719165,0.5813315789473684,40252.1,19
West Mifflin,2023-10,0.573342869086772,0.610521052631579,40992.45454545456,19
West Mifflin,2023-11,0.6156277030094383,0.656978947368421,37027.95238095238,19
West Mifflin,2023-12,0.6366761547987616,0.6718947368421052,32300.0,19
West Mifflin,2024-01,0.6228174629968577,0.6773210526315789,30347.545454545452,19
West Mifflin,2024-02,0.6236892507057129,0.6703052631578947,34986.57142857142,19
West Mifflin,2024-03,0.6393831486683662,0.6827105263157895,31885.285714285717,19
West Mifflin,2024-04,0.5910823802870603,0.6310105263157895,34094.818181818206,19
West Mifflin,2024-05,0.5911869297943643,0.6188368421052631,32349.772727272717,19
West Mifflin,2024-06,0.5947896968603392,0.6426368421052632,30203.899999999998,19
West Mifflin,2024-07,0.5971886525566598,0.6402473684210527,29901.409090909096,19
West Mifflin,2024-08,0.5758450120899639,0.6229315789473684,32671.72727272728,19
West Mifflin,2024-09,0.5695472181598198,0.610742105263158,38804.35,19
West Mifflin,2024-10,0.5632458870920052,0.5930052631578947,37496.478260869546,19
