rank,ntd_id,agency_name,city,state,vrh_2019,vrh_2024,vrh_pct_change,upt_2019,upt_2024,upt_pct_change
80,90030,North County Transit District (NCTD),Oceanside,CA,606598.0,556172.0,-8.31291893478053,10391615.0,7705768.0,-25.84629049478835
81,40019,Transit Authority of Northern Kentucky (TANK),Covington,KY,267833.0,245450.0,-8.35707325086901,3002618.0,2109727.0,-29.737082772433922
82,30083,Transportation District Commission of Hampton Roads (HRT),Hampton,VA,1103631.0,1010788.0,-8.412503816946062,13332764.0,8616946.0,-35.37014530520453
83,90023,Long Beach Transit (LBT),Long Beach,CA,748552.0,685375.0,-8.439894623219228,23248158.0,18503348.0,-20.40940189756109
84,29,Snohomish County Public Transportation Benefit Area Corporation (CT),Everett,WA,818454.0,744793.0,-9.000017105420707,11093256.0,8426406.0,-24.04028177119504
85,60048,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,2043342.0,1852504.0,-9.339503617113532,31078420.0,26473441.0,-14.817288008849872
86,80289,Roaring Fork Transportation Authority (RFTA),Glenwood Springs,CO,276514.0,248828.0,-10.012512928820964,5212525.0,4765034.0,-8.584918057946963
87,90033,City of Tucson (COT) - Department of Transportation & Mobility / Transit Services Division,Tucson,AZ,982515.0,884088.0,-10.017862322712629,15702995.0,17970113.0,14.437487880496683
88,30202,South Central Transit Authority (SCTA),Lancaster,PA,447070.0,402193.0,-10.038025365155345,5052264.0,3788665.0,-25.010549725825886
89,60051,Corpus Christi Regional Transportation Authority (CCRTA),Corpus Christi,TX,362916.0,325183.0,-10.397171797330513,5249776.0,3710197.0,-29.32656555251119
90,10017,Greater Hartford Transit District (GHTD),Hartford,CT,288140.0,257611.0,-10.595196779343375,513438.0,479851.0,-6.541588273559807
91,8,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,3184356.0,2843951.0,-10.689916579678906,96633005.0,64748819.0,-32.995130390491326
92,60011,VIA Metropolitan Transit,San Antonio,TX,2435693.0,2173542.0,-10.762891710901169,42510772.0,30716511.0,-27.744170348164932
93,20,Kitsap County Public Transportation Benefit Area Authority (KT),Bremerton,WA,279786.0,249043.0,-10.98804085979999,3850213.0,3217021.0,-16.445635605095095
94,30019,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,7522245.0,6674496.0,-11.269893495891187,308266485.0,200711934.0,-34.89012144800626
95,1,King County (KCM) - Metro Transit Department,Seattle,WA,5031034.0,4446023.0,-11.628047037646734,128666612.0,88638711.0,-31.109780834207402
96,40027,Pinellas Suncoast Transit Authority (PSTA),Saint Petersburg,FL,1005391.0,887655.0,-11.710468862363001,13615634.0,10368682.0,-23.84723326141111
