stop_id,avg_ons,avg_offs,stop_name,lat,lon,shelter,mode,stop_type,avg_daily_usage,has_shelter
E17970,7.347727,1.4227275000000001,ELECTRIC AVE AT NORTH AVE,40.4055,-79.8391,No Shelter,Bus,Bus Stop,8.7704545,false
N43970,17.554544999999997,4.6954545,PERRYSVILLE AVE OPP LAFAYETTE AVE,40.4649,-80.0116,No Shelter,Bus,Bus Stop,22.249999499999998,false
S70596,1.11590909090909,3.897727272727275,BROWNLEE ST AT #60,40.3507,-79.8431,No Shelter,Bus,Bus Stop,5.0136363636363654,false
E19520,119.231815,67.78182,FORBES AVE AT MARGARET MORRISON ST NS,40.4428,-79.9378,No Shelter,Bus,Bus Stop,187.013635,false
S70323,0.9909090909090901,2.49318181818182,ST CLAIR AVE OPP 8TH ST,40.294,-79.8912,No Shelter,Bus,Bus Stop,3.4840909090909102,false
E34030,38.468180000000004,5.8204545,LAKETON RD OPP NELBON AVE,40.4596,-79.8438,No Shelter,Bus,Bus Stop,44.2886345,false
S09140,22.997725,60.1,BROWNSVILLE RD AT STEWART AVE,40.383,-79.977,No Shelter,Bus,Bus Stop,83.097725,false
E13690,128.50682,75.672725,CENTRE AVE AT NEGLEY AVE,40.4574,-79.9339,PAAC,Bus,Bus Stop with PAAC Shelter,204.17954500000002,true
X04060,0.097727275,0.61136365,CEDAR BLVD AT LINDENDALE DR,40.3677,-80.0614,No Shelter,Bus,Bus Stop,0.709090925,false
W24330,0.4590909090909092,1.918181818181818,WASHINGTON AVE AT PRESTLEY RD,40.3627,-80.1105,No Shelter,Bus,Bus Stop,2.377272727272727,false
E70019,0.31590910000000005,10.177273,EDGEWOOD AVE AT BRADDOCK AVE NS,40.4236,-79.8863,No Shelter,Bus,Bus Stop,10.4931821,false
E70827,0.46136363636363625,0.02272727272727275,FOREST AVE AT 7TH ST,40.3873,-79.7571,No Shelter,Bus,Bus Stop,0.484090909090909,false
W14540,0.16136365,2.540909,MIDDLETOWN RD OPP HODGSON AVE FS,40.4458,-80.0601,No Shelter,Bus,Bus Stop,2.7022726500000003,false
E34450,2.4886365,0.77954545,LARIMER AVE AT SHETLAND ST,40.4662,-79.9121,No Shelter,Bus,Bus Stop,3.2681819500000002,false
N52655,4.090909,4.0454545,TROY HILL RD AT #1034,40.4563,-79.9921,No Shelter,Bus,Bus Stop,8.1363635,false
N32720,0.28863635,6.6022725,MCKNIGHT RD AT MCINTYRE RD,40.5503,-80.0191,No Shelter,Bus,Bus Stop,6.89090885,false
