route_id,route_name,mode,month,otp,rolling_mean,rolling_std,z_score,known_event
8,PERRYSVILLE,BUS,2025-07,0.6769,0.7813083333333334,0.02287791544593784,-4.563717073789255,
81,OAK HILL,BUS,2020-03,0.7425,0.6514916666666667,0.04256072577844368,2.1383172318792463,COVID-19 shutdown begins
81,OAK HILL,BUS,2020-04,0.8089,0.66175,0.0485380918829363,3.031639569905116,COVID-19 reduced service
81,OAK HILL,BUS,2022-09,0.5455,0.7613250000000001,0.03792267551454981,-5.691186000766072,
81,OAK HILL,BUS,2023-09,0.5096,0.6654916666666667,0.06630474353431647,-2.3511389737294417,
81,OAK HILL,BUS,2025-04,0.4804,0.592675,0.04687420544781073,-2.3952406003981404,
81,OAK HILL,BUS,2025-06,0.4412,0.5752750000000001,0.062446153167785054,-2.147049789276166,
82,LINCOLN,BUS,2019-07,0.5379,0.6054166666666666,0.027631678679853423,-2.4434514981492508,
82,LINCOLN,BUS,2020-03,0.7062,0.5893916666666666,0.025825056836453652,4.523062004202495,COVID-19 shutdown begins
82,LINCOLN,BUS,2020-04,0.7006,0.5981833333333334,0.042560178428653096,2.4063965530209313,COVID-19 reduced service
82,LINCOLN,BUS,2021-09,0.5823,0.6778,0.03544755408923244,-2.69412100365506,
82,LINCOLN,BUS,2023-09,0.5429,0.634,0.02553197638612884,-3.5680747397797727,
82,LINCOLN,BUS,2023-10,0.5187,0.6255416666666667,0.036310816278182334,-2.942419852204296,
82,LINCOLN,BUS,2024-05,0.4568,0.569675,0.03887689486758868,-2.90339545852215,
82,LINCOLN,BUS,2024-09,0.4569,0.5369499999999999,0.03339503229251764,-2.397063111028512,
82,LINCOLN,BUS,2025-11,0.5951,0.5322833333333333,0.028901646173103514,2.173463279234425,
83,BEDFORD HILL,BUS,2019-11,0.604,0.6765100000000001,0.02888988481189296,-2.509875012383235,
83,BEDFORD HILL,BUS,2020-03,0.7773,0.6684333333333333,0.03733751058881266,2.9157451835925583,COVID-19 shutdown begins
83,BEDFORD HILL,BUS,2020-04,0.8113,0.6781166666666666,0.048624681972941425,2.7390067745316475,COVID-19 reduced service
83,BEDFORD HILL,BUS,2021-04,0.7001,0.7566666666666667,0.02812211466681147,-2.0114656147613377,
83,BEDFORD HILL,BUS,2021-07,0.7891,0.7414499999999999,0.021780996721495274,2.1876868450641265,
