stop_id,stop_name,stop_lat,stop_lon,classification,signal_dist_m,shape_id
4825,E CARSON ST + 2ND ST,40.430079,-79.998841,mid_block,NaN,shp-51-08
4826,E CARSON ST + ARLINGTON,40.430843,-80.001105,mid_block,NaN,shp-51-08
4828,FT PITT BLVD + SMITHFIELD ST FS,40.437066,-80.001663,mid_block,NaN,shp-51-08
4829,WOOD ST + THIRD AVE FS,40.439076,-80.001471,far_side,29.233320853778874,shp-51-08
4832,WOOD ST + SIXTH AVE,40.441801,-79.999643,ambiguous,39.182113081784166,shp-82-01
4834,WHARTON ST + S 20TH,40.430421,-79.977196,mid_block,NaN,shp-81-04
4838,SMITHFIELD ST + FORBES AVE,40.439558,-79.999055,near_side,16.918589244191,shp-51-58
4839,SMITHFIELD ST + THIRD AVE,40.438302,-79.999898,near_side,9.353026639420074,shp-51-58
4840,SMITHFIELD ST + FT PITT BLVD,40.436891,-80.000842,near_side,26.814698194702085,shp-51-58
4841,E CARSON ST + STATION SQUARE STATION,40.431835,-80.003456,far_side,42.841317960178785,shp-51-58
4842,E CARSON ST + 2ND ST,40.430133,-79.999278,mid_block,NaN,shp-51-58
4844,E CARSON ST + 5TH ST,40.428733,-79.99517,mid_block,NaN,shp-51-58
4847,E CARSON ST + 10TH ST,40.428654,-79.988994,near_side,45.96872428302203,shp-51-58
4848,E CARSON ST + 12TH ST,40.428718,-79.98656,near_side,17.25780284544241,shp-51-58
