geoid,population,land_area_m2,dist_to_stop_m,pop_density,within_half_mile,density_quartile
42003491200,2198,10322674.0,115.35974625747552,212.9293243204232,true,1
42003509400,5087,2520376.0,115.62382548761694,2018.3496430691296,true,3
42003508000,1834,1111511.0,118.58674116497092,1650.0061627820148,true,3
42003462600,3669,1086094.0,119.57221592385584,3378.1606380294893,true,4
42003110200,4054,806109.0,119.73572623634246,5029.096561383139,true,4
42003552400,3412,2045381.0,121.42726390376652,1668.1488681081912,true,3
42003130600,3505,1400161.0,122.10695163428171,2503.2835509630677,true,4
42003432400,2452,710868.0,122.336263241031,3449.3042308839335,true,4
42003120300,2093,1079674.0,122.82144855357743,1938.5481173020744,true,3
42003250900,1268,643639.0,124.91592369087951,1970.0484277677394,true,3
42003180300,1966,768452.0,125.68022698097512,2558.3901141515676,true,4
42003510000,1866,1003868.0,127.35650884935215,1858.8101224463774,true,3
42003010301,2028,276652.0,130.65321770166747,7330.50908722872,true,4
42003060500,1203,663515.0,131.49824294196674,1813.0712945449613,true,3
42003428200,2028,4421772.0,134.30637853634119,458.6396584898543,true,1
42003435000,2524,1472771.0,135.71199572716813,1713.776276148838,true,3
42003170200,3882,1111630.0,136.64650083385413,3492.1691570036796,true,4
42003513800,1814,1458664.0,137.29308004875568,1243.6037360214552,true,2
42003477200,4489,2899681.0,137.62329337203587,1548.1013256285778,true,3
42003424000,3189,1384723.0,143.15628007324878,2302.9876733469437,true,3
42003525200,2565,1121761.0,143.23285772157433,2286.5833274645847,true,3
42003492900,1756,1678348.0,143.67289002919645,1046.2669243804028,true,2
42003051100,458,194599.0,146.42185835064328,2353.557829176923,true,3
42003551200,3172,1308013.0,147.66783910661735,2425.0523503971294,true,4
42003080400,1650,430386.0,148.82067406704942,3833.7678270203955,true,4
42003140800,4919,1089074.0,149.7221699947263,4516.681143797392,true,4
42003051000,2187,646293.0,150.25287592271533,3383.914107069085,true,4
42003070500,2996,412753.0,151.04151736091762,7258.578374960328,true,4
42003480300,3680,2840625.0,151.11692737809616,1295.4895489548956,true,2
42003565200,3011,1284592.0,152.84869709296547,2343.9348836050667,true,3
42003488400,4233,3730322.0,153.243941004806,1134.7545868694447,true,2
42003427200,4544,4775077.0,158.49753945929223,951.6076913524117,true,2
42003475101,4606,3134673.0,158.53494153655132,1469.3717654122138,true,3
42003260700,1618,671347.0,159.56863081739246,2410.080033127429,true,3
42003464300,3351,1122813.0,159.70331309072793,2984.468473378916,true,4
42003460001,4883,6661893.0,159.7848786537158,732.9748466389358,true,2
42003980800,0,346128.0,165.29616832230226,0.0,true,
42003191800,5106,1457192.0,167.1497717657249,3503.999472958951,true,4
42003470400,2962,1790089.0,168.695178663656,1654.6663322326433,true,3
42003472100,2157,549884.0,169.84462352040543,3922.6455034152664,true,4
42003563202,1924,609332.0,174.23525957334127,3157.556143448892,true,4
42003463900,3078,1011302.0,174.2508396090753,3043.6012190226065,true,4
42003461000,946,3965383.0,174.437381414164,238.56459766938025,true,1
42003562901,1508,2251624.0,174.68995166221993,669.7388196253015,true,2
42003981200,0,461252.0,175.0577305441075,0.0,true,
42003160900,3303,1246734.0,177.1526609149285,2649.3221489106736,true,4
42003120900,1574,1153119.0,177.20360736551166,1364.9935522699739,true,2
42003429600,3601,3443795.0,178.84143639699758,1045.6487682919571,true,2
42003470300,4008,3429047.0,179.617043524964,1168.8378724467761,true,2
42003561500,2737,1279790.0,186.16192429885675,2138.6321193320778,true,3
42003191400,2429,948673.0,186.45486479777554,2560.418605778809,true,4
42003130200,1161,348488.0,189.0881311907881,3331.5350887261543,true,4
42003434000,1878,981713.0,190.96099984056832,1912.9827149075138,true,3
42003111300,2785,540629.0,192.26193925185248,5151.406972248991,true,4
42003402000,3214,1329046.0,192.76866255894035,2418.2759663698625,true,3
42003552100,1383,692361.0,193.56806119600157,1997.512858176587,true,3
42003418000,1638,1198394.0,194.0619032552965,1366.829273177269,true,2
42003140500,1884,782035.0,194.3290988978189,2409.0993369861967,true,3
42003429700,2252,3132321.0,195.65292650956505,718.9556881303034,true,2
42003523100,3829,6801262.0,201.50826435490234,562.9837521330601,true,1
42003080600,1892,404923.0,204.28975406064137,4672.49328884751,true,4
42003426300,6249,5212411.0,204.5723610632932,1198.8693907675356,true,2
42003477300,6518,3552186.0,204.6050588474476,1834.9264368476202,true,3
42003562600,2712,2093529.0,205.81923608971798,1295.4203166041648,true,2
42003420000,1532,767755.0,206.377692608987,1995.4282290574467,true,3
42003550900,1807,989679.0,209.976508907351,1825.8445415129552,true,3
42003523200,4040,3220297.0,210.7749494082801,1254.5426710641907,true,2
42003040500,2840,473356.0,211.88343800682063,5999.712689814854,true,4
42003523400,5016,3253596.0,212.52890755484225,1541.6788070799203,true,3
42003020300,1471,1590870.0,214.378642433402,924.6512914317324,true,2
42003141200,4081,1396263.0,214.60326356320573,2922.8017930719357,true,4
42003523800,4604,4795646.0,217.8619779579343,960.0375006829112,true,2
42003464400,2815,1723619.0,218.31447423202007,1633.1915579951253,true,3
