geoid,n_stops,n_signalized,n_nearside,n_signal_classified,use_total,use_signalized,use_classified,use_nearside,median_household_income,population,households_total,households_zero_vehicle,pop_black_nh,signalized_share,nearside_share,rw_signalized_share,rw_nearside_share,zero_vehicle_share,black_share
42003463900,17,5,4,5,327.99772727272733,114.09318181818189,114.09318181818189,88.82500000000005,46183.0,3078,1452,497,1073,0.29411764705882354,0.8,0.3478474767702106,0.778530308161192,0.34228650137741046,0.34860298895386616
42003141300,24,13,12,13,3708.831794445,3340.8840695000004,3340.8840695000004,3318.9181604000005,46530.0,5136,2231,668,86,0.5416666666666666,0.9230769230769231,0.9007914768482888,0.9934251208233971,0.29941730165844915,0.01674454828660436
42003524000,7,4,4,4,78.73863697,75.5386371,75.5386371,75.5386371,46610.0,2629,1208,241,328,0.5714285714285714,1.0,0.9593592168579294,1.0,0.19950331125827814,0.12476226702168125
42003401200,7,5,5,5,15.338636363636363,14.102272727272727,14.102272727272727,14.102272727272727,46875.0,2812,1360,262,225,0.7142857142857143,1.0,0.9193954659949622,1.0,0.19264705882352942,0.08001422475106686
42003425000,28,7,7,7,335.58636359545454,174.18636363636364,174.18636363636364,174.18636363636364,46892.0,3413,1656,321,128,0.25,1.0,0.519050779567263,1.0,0.19384057971014493,0.0375036624670378
42003462600,18,1,1,1,560.79318985,0.7,0.7,0.7,46935.0,3669,1671,537,1234,0.05555555555555555,1.0,0.001248231991168143,1.0,0.3213644524236984,0.33633142545652767
42003432300,11,1,1,1,332.5659090909092,50.01136363636368,50.01136363636368,50.01136363636368,46994.0,2287,1377,369,262,0.09090909090909091,1.0,0.15038030738951277,1.0,0.2679738562091503,0.11456055968517709
42003515100,28,4,2,4,2030.12501478,84.67727579999999,84.67727579999999,44.852274300000005,47052.0,2911,1411,445,1531,0.14285714285714285,0.5,0.041710375067308986,0.5296848992395196,0.31537916371367825,0.5259361044314669
42003300100,29,6,4,6,1132.8159068,812.51135345,812.51135345,523.73864495,47093.0,4188,1389,427,1908,0.20689655172413793,0.6666666666666666,0.7172492446236897,0.644592401972177,0.3074154067674586,0.45558739255014324
42003499400,18,6,6,6,213.29090909090905,101.12954545454544,101.12954545454544,101.12954545454544,47202.0,2844,1101,45,230,0.3333333333333333,1.0,0.47413903333049184,1.0,0.04087193460490463,0.0808720112517581
42003261300,45,9,7,9,918.26818432,55.52726965,55.52726965,42.56136115,48500.0,2996,1004,338,1846,0.2,0.7777777777777778,0.06046955627796176,0.7664947586703464,0.33665338645418325,0.6161548731642189
42003484300,15,7,7,7,288.27272392000003,193.07499885000001,193.07499885000001,193.07499885000001,48841.0,3523,1499,436,1136,0.4666666666666667,1.0,0.6697650621415754,1.0,0.29086057371581053,0.3224524552937837
42003560400,24,7,5,7,3192.6999897,149.225003775,149.225003775,105.770458275,49048.0,1554,848,285,419,0.2916666666666667,0.7142857142857143,0.04673943817346328,0.7087984962257374,0.33608490566037735,0.2696267696267696
42003010302,18,8,7,8,1556.54316817,1395.9613495,1395.9613495,1122.1431735,49375.0,4631,322,96,678,0.4444444444444444,0.875,0.8968343301016232,0.8038497440505247,0.2981366459627329,0.14640466421939105
42003402000,17,0,0,0,17.488636363636367,0.0,0.0,0.0,49388.0,3214,1551,287,135,0.0,,0.0,,0.18504190844616378,0.04200373366521468
42003070900,22,16,16,16,3530.6000194999997,2121.2886385,2121.2886385,2121.2886385,49421.0,4196,2391,704,281,0.7272727272727273,1.0,0.6008294983243146,1.0,0.2944374738603095,0.06696854146806483
